lid,lat,lon,rfc,minor,moderate,major,code,date_produced
ADLC2,38.248058,104.399136,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
AERK1,38.464722,99.622222,ABRFC,0.076400,0.058600,0.055100,1,4/18/2016
AGAK1,37.670556,96.980000,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
AGSK1,37.679700,96.996380,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
ALBK1,38.461667,99.014444,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
ALMK1,38.112200,97.591940,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
ALXO2,34.925903,97.773927,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
AMAT2,35.470278,101.879167,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
AMCK1,38.466944,96.250278,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
AMCO2,36.218330,98.254440,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
ANDO2,35.084228,98.243385,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
ANTO2,34.248611,95.605000,ABRFC,0.199900,0.079300,0.050000,1,1/26/2023
ARCC2,38.064604,103.685472,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
ARCK1,37.037500,97.039166,ABRFC,0.086400,0.050000,0.050000,1,1/26/2023
ARCT2,33.875000,95.501667,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
ARKK1,37.056380,97.025550,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
ATOK1,37.529770,95.674400,ABRFC,0.054800,0.050000,0.050000,1,1/26/2023
AVAO2,36.815031,98.648140,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
AVTO2,36.485000,96.060000,ABRFC,0.095300,0.068300,0.050000,1,1/26/2023
BETK1,38.162778,99.642778,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
BFFO2,36.851975,99.315387,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
BGSO2,35.673889,96.068333,ABRFC,0.052200,0.050000,0.050000,1,1/26/2023
