lid,lat,lon,rfc,minor,moderate,major,code,date_produced
ACML1,31.267778,91.830833,LMRFC,0.530000,0.400000,0.190000,2,1/24/2023
AEXL1,31.308889,92.439167,LMRFC,0.150000,0.120000,0.110000,1,1/24/2023
AKDA4,34.121111,93.046111,LMRFC,0.620000,0.050000,0.050000,2,1/24/2023
ALGL1,32.373801,91.880754,LMRFC,0.050000,0.050000,0.050000,1,1/24/2023
ALYM7,37.148170,91.443080,LMRFC,0.080000,0.050000,0.050000,1,1/24/2023
AMIL1,30.728889,90.484167,LMRFC,0.050000,0.050000,0.050000,1,1/24/2023
ANGM6,32.971700,90.777000,LMRFC,0.210000,0.080000,0.050000,1,1/24/2023
ANNM7,37.336111,90.788611,LMRFC,0.430000,0.100000,0.050000,1,1/24/2023
ARLT1,35.310833,89.639444,LMRFC,0.320000,0.120000,0.050000,1,1/24/2023
ARSA4,33.551500,91.238400,LMRFC,0.150000,0.080000,0.050000,1,1/24/2023
ARTT1,36.541667,83.630278,LMRFC,0.490000,0.070000,0.060000,1,1/24/2023
AUGA4,35.294444,91.394167,LMRFC,0.950000,0.140000,0.050000,2,1/24/2023
AVLN7,35.608889,82.578056,LMRFC,0.080000,0.050000,0.050000,1,1/24/2023
BAGA4,35.760278,91.641111,LMRFC,0.170000,0.120000,0.050000,1,1/24/2023
BDCL1,30.482778,92.490556,LMRFC,0.870000,0.320000,0.050000,2,1/24/2023
BELM6,33.164710,90.494310,LMRFC,0.310000,0.180000,0.110000,1,1/24/2023
BHTA4,33.875556,93.304444,LMRFC,0.360000,0.050000,0.050000,1,1/24/2023
BIRN7,35.461389,83.353611,LMRFC,0.050000,0.050000,0.050000,1,1/24/2023
BKDL1,30.726667,93.095000,LMRFC,0.880000,0.200000,0.110000,2,1/24/2023
BKNM6,31.051900,89.204200,LMRFC,0.250000,0.050000,0.050000,1,1/24/2023
BKRA4,36.102500,91.097778,LMRFC,0.950000,0.150000,0.050000,2,1/24/2023
