lid,lat,lon,rfc,minor,moderate,major,code,date_produced
AANG1,33.820306,84.407639,SERFC,0.196600,0.115400,0.050000,1,12/14/2022
ABBG1,31.996667,83.279167,SERFC,0.802700,0.392000,0.050000,2,12/14/2022
ABDM6,33.790000,88.315278,SERFC,0.760100,0.050000,0.050000,2,12/14/2022
ABEM6,33.830000,88.520000,SERFC,0.050000,0.050000,0.050000,1,12/14/2022
ABIK1,38.906389,97.284167,MBRFC,0.050000,0.050000,0.050000,1,1/24/2023
ABNG1,31.594167,84.144167,SERFC,0.213000,0.063400,0.050000,1,12/14/2022
ABOM8,46.877222,113.931389,NWRFC,0.050000,0.050000,0.050000,1,1/27/2023
ABRN1,40.392805,95.812680,MBRFC,0.050000,0.050000,0.050000,1,1/24/2023
ABRN8,46.470556,96.781944,NCRFC,0.250000,0.120000,0.050000,1,1/27/2023
ACDG1,34.031667,83.563333,SERFC,0.455000,0.083900,0.050000,1,12/14/2022
ACML1,31.267778,91.830833,LMRFC,0.530000,0.400000,0.190000,2,1/24/2023
ADAK1,39.139167,97.836667,MBRFC,0.050000,0.050000,0.050000,1,1/24/2023
ADAM4,42.956974,85.477523,NCRFC,0.050000,0.050000,0.050000,1,1/27/2023
ADLC2,38.248058,104.399136,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
ADRM4,41.904167,83.980556,NCRFC,0.050000,0.050000,0.050000,1,1/27/2023
AERK1,38.464722,99.622222,ABRFC,0.076400,0.058600,0.055100,1,4/18/2016
AESI4,42.006653,93.595495,NCRFC,0.050000,0.050000,0.050000,1,1/27/2023
AEXL1,31.308889,92.439167,LMRFC,0.150000,0.120000,0.110000,1,1/24/2023
AFBI2,42.161944,88.293889,NCRFC,0.370000,0.110000,0.050000,1,1/27/2023
AFTW3,42.613611,89.071667,NCRFC,0.180000,0.050000,0.050000,1,1/27/2023
AGAK1,37.670556,96.980000,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
AGNI4,43.082680,94.230608,NCRFC,0.050000,0.050000,0.050000,1,1/27/2023
